URL,Etiology,Symptoms
https://www.orthobullets.com/spine/2046/ossification-posterior-longitudinal-ligament,"Pathophysiology
cause is unclear but likely multifactorial
associated factors
diabetes
obesity
high salt-low meat diet
poor calcium absorption
mechanical stress on posterior longitudinal ligament","often asymptomatic
symptoms and exam findings consistent with symptoms of myelopathy"
https://www.orthobullets.com/trauma/1018/elbow-dislocation,"Pathophysiology
mechanism for posterolateral dislocation
usually a combination of
axial loading
supination/external rotation of the forearm
valgus posterolateral force
a varus posteromedial mechanism (combined with axial load and forearm external rotation) has also been reported
posterior dislocations may involve more than one injury mechanism
pathoanatomy
associated with complete or near complete circular disruption of capsuloligamentous stabilizers
pathoanatomic cascade
progression of injury is from lateral to medial
LCL fails first
(primary lesion)
by avulsion of the lateral epicondylar origin
midsubstance LCL tears are less common but do occur
MCL fails last
depending on degree of energy
Associated injuries
shoulder and wrist injuries
concomitant shoulder and wrist injuries occur in 10-15% of elbow dislocations",pain and swelling
https://www.orthobullets.com/recon/12124/tha-templating,,
https://www.orthobullets.com/spine/2014/occipitocervical-instability,,
https://www.orthobullets.com/basic-science/9021/muscle-biology-and-physiology,,
https://www.orthobullets.com/recon/5014/tka-axial-alignment,,
https://www.orthobullets.com/hand/6028/extensor-tendon-injuries,"Mechanism
Zone I
forced flexion of extended DIP joint
Zone II
dorsal laceration or crush injury
Zone V
commonly from ""fight bite""
sagittal band rupture (""flea flicker injury"")
forced extension of flexed digit
most common in long finger",
https://www.orthobullets.com/trauma/322053/geriatric-patient-trauma,"Pathophysiology
musculoskeletal related conditions of the elderly are common
osteoarthritis
osteoporosis
2.1 million fragility fractures annually
falls
30% of persons >65 years old sustain at least 1 fall per year",
https://www.orthobullets.com/hand/6036/base-of-thumb-fractures,"Pathophysiology
mechanism of injury
most Bennett and Rolando are fractures caused by axial force applied to the thumb in flexion
pathoanatomy
imperfect reductions and above forces lead to increased joint contact pressures and subsequent predisposition to early arthritis
excessive angulation may lead to MCP joint hyperextension deformity",acute pain at the base of thumb with
https://www.orthobullets.com/spine/2016/odontoid-fracture,"Pathophysiology
mechanism
displacement may be anterior (hyperflexion) or posterior (hyperextension)
anterior displacement
is associated with transverse ligament failure and atlanto-axial instability
posterior displacement
is caused by direct impact from the anterior arch of atlas during hyperextension
biomechanics
a fracture through the base of the odontoid process severely compromises the stability of the upper cervical spine.
Associated conditions
Os odontoideum
etiology
previously thought to be due to failure of fusion at the base of the odontoid
evidence now suggests it may represent the residuals of an old traumatic process
imaging
appears like a type II odontoid fx on xray
treatment
observation","neck pain
worse with motion, especially rotation
dysphagia
may be present when associated with a large retropharyngeal hematoma"
https://www.orthobullets.com/spine/2006/spinal-cord-injuries,"Mechanism
MVA causes 50%
falls
GSW
iatrogenic
it is estimated that 3-25% of all spinal cord injuries occur after initial traumatic episode due to improper immobilization and transport
Pathophysiology
primary injury
damage to neural tissue due to direct trauma
irreversible
secondary injury
injury to adjacent tissue due to
decreased perfusion
lipid peroxidation
free radical / cytokines
cell apoptosis
methylprednisolone used to prevent secondary injury by improving perfusion, inhibiting lipid peroxidation, and decreasing the release of free radicals
Associated conditions
acute phase conditions  (see below)
spinal shock
neurogenic shock
associated injuries
closed head injuries
noncontiguous spinal fractures
vertebral artery injury
risk factors for vertebral artery injury include
atlas fractures
facet dislocations
most people with unilateral injury remain asymptomatic
imaging
magnetic resonance angiography
is the least invasive method
treatment
stenting only if patient is symptomatic from basilar arterial insufficiency",
https://www.orthobullets.com/basic-science/4108/juvenile-idiopathic-arthritis,"Genetics
HLA markers
DR4 associated with polyarticular
DR8, DR5, DR2.1 associated with pauciarticular
RF- seropositive in <15%
Diagnostic criteria
a diagnosis of exclusion
must rule out infection
one of the following must be present to make diagnosis
rash
presence of RF
iridocyclitis
C-spine involvement
pericarditis
tenosynovitis
intermittent fever
morning stiffness
Associated conditions
C-spine involvement
may lead to kyphosis, facet ankylosis, and
atlantoaxial subluxation
Ocular involvement
typically consists of iridocyclitis, a type of anterior uveitis
frequently indolent and requires immediate ophthalmologic evaluation for slit lamp examination
can lead to rapid loss of vision if untreated
increase risk with positive ANA titer
Stills disease
acute-onset JRA with multiple joint involvement, fever, rash, and splenomegaly
infection must be ruled out
male = female
usually presents at age 5-10 years","morning stiffness and joint pain
visual changes
fever"
https://www.orthobullets.com/pediatrics/4123/medial-clavicle-physeal-fracture,"Pathophysiology
mechanism
fall onto an outstretched extremity
direct blow
child abuse a rare cause
pathoanatomy
considered a childhood equivalent to
adult sternoclavicular separation
physeal sleeve and strong costoclavicular and sternoclavicular ligaments usually remain intact with injury . However, in series by Lee et al. of 40 patients treated operatively for a posterior sternoclavicular injury 50% were physeal fractures and 50% were actually sternoclavicular dislocations
anterior displacement
metaphyseal fragment may be sharp and palpable immediately beneath the skin
clavicular head of the sternocleidomastoid muscle is pulled anteriorly with the bone and spasms
patient's head may be tilted towards the affected side
posterior displacement
local swelling, tenderness, and depression of the medial end of the clavicle
innominate artery and vein, internal jugular vein, phrenic and vagus nerves, trachea, and esophagus may be injured with posterior displacement","pain
dysfunction
anterior dislocation
deformity with a palpable bump
posterior dislocations
dyspnea or
dysphagia
tachypnea and
stridor
diminution or absence of distal pulses
paresthesias or paresis"
https://www.orthobullets.com/spine/2008/incomplete-spinal-cord-injuries,,
https://www.orthobullets.com/basic-science/9031/rickets,,"listlessness
irritability
generalized weakness"
https://www.orthobullets.com/pediatrics/4102/osteogenesis-imperfecta,"Pathophysiology
can result from
decreased collagen secretion
production of abnormal collagen
leads to
insufficient osteoid production
physeal osteoblasts cannot form sufficient osteoid
periosteal osteoblasts cannot form sufficient osteoid and therefore
cannot remodel normally
Genetics
90% have an identifiable genetic mutation
COL 1A1 and COL 1A2
causes
abnormal collagen cross-linking
via a glycine substitution in the procollagen molecule
autosomal dominant
and
autosomal recessive
forms
milder autosomal dominant forms (Types I and IV)
severe autosomal dominant forms (Types II and III)
autosomal recessive forms (Type VI, VII)
CRTAP and LEPRE1 genes associated with severe, lethal forms of OI not associated with primary structural defect of type I collagen
Orthopaedic manifestations
bone fragility and fractures
fractures heal in normal fashion initially but the
bone does not remodel
can lead to progressive bowing
ligamentous laxity
short stature
scoliosis
codfish vertebrae (compression fx)
basilar invagination
olecranon apophyseal avulsion fx
most common first presenting sign
coxa vara (10%)
congenital anterolateral radial head dislocations
Non-Orthopaedic manifestations
blue sclera
dysmorphic, triangle shaped facies
hearing
loss
50% of adults with OI
may be conductive, sensorial and mixed
brownish opalescent teeth (
dentinogenesis
imperfecta)
alteration in dentin
brown/blue teeth, soft, translucent, prone to cavities
affects primary teeth > secondary teeth
wormian
skull bones (puzzle piece intrasutural skull bones)
hypermetabolism
increased risk of
malignant hyperthermia
hyperhidrosis, tachycardia, tachypnoea, heat intolerance
thin skin prone to subcutaneous hemorrhage
cardiovascular
mitral valve prolapse
aortic regurgitation","mild cases
multiple fractures
during childhood
severe cases
present with
fractures at birth and can be fatal
number of fractures typically decreases as patient ages and usually stops after puberty
basilar invagination
presents with apnea, altered consciousness, ataxia, or myelopathy
usually in third or fourth decade of life, but can be as early as teenage years"
https://www.orthobullets.com/basic-science/9008/bone-remodeling,,
https://www.orthobullets.com/foot-and-ankle/7017/bunionette-deformity,"Pathophysiology
mechanism of disease
extrinsic causes
compression of forefoot (e.g. tight shoes)
abnormal loading on the lateral aspect of the foot
intrinsic causes
congenital deformities (e.g. splayfoot, brachymetatarsia)
inflammatory arthropathies
residual malalignments from surgery
pathoanatomy
boney prominence +/- bursitis over lateral aspect of 5th metatarsal head
increased 4-5 intermetatarsal angle  (normal 6.5-8 degrees)
increased lateral deviation angle (normal 0-7 degrees)
increased width of MT head (normal <13mm)
lateral bowing of the 5th metatarsal bone
Associated conditions
varus MTP joint
pes planus","cosmetic deformity
medial deviation of 5th toe
prominence of the 5th metatarsal head
pain
lateral bunion
plantar callus
worse with constrictive shoe wear"
https://www.orthobullets.com/basic-science/9056/thromboembolism-pe-and-dvt-prophylaxis,,
https://www.orthobullets.com/hand/6031/flexor-tendon-injuries,"Pathophysiology
mechanism of injury
commonly results from volar lacerations and may have concomitant neurovascular injury
pathophysiology
tendon healing
occurs via 2 pathways
intrinsic
produced by tenocytes within the tendon
extrinsic
stimulated by surrounding synovial fluid and inflammatory cells
implicated in the formation of scarring and adhesions
occurs in 3 phases
Phases of Tendon Healing
Phase
Days
Histology
Strength
Inflammatory
0-5
Cellular proliferation
None
Fibroblastic
5-28
Fibroblastic proliferation with disorganized collagen
Increasing
Remodeling
>28 days
Linear collagen organization
Will tolerate active range of motion",loss of active flexion strength or motion of the involved digit(s)
https://www.orthobullets.com/hand/322147/triquetrum-fracture,"Pathophysiology
mechanism of injury
dorsal cortical fractures
impaction
most common mechanism
usually a fall onto wrist in
dorsiflexion and ulnar deviation
ulnar styloid can act as a chisel driven into the dorsal cortex of the triquetrum
avulsion
results from extreme palmar flexion with radial deviation
due to attachment of dorsal radiotriquetral and triquetroscaphoid ligaments
shearing force
results from shearing of proximal edge of the hamate against the distal dorsal triquetrum during wrist extension
body fractures
sagittal fractures
results from axial dislocations or anterior-posterior crush injury
medial tuberosity fractures
results from direct blow
transverse proximal pole fractures
associated with perilunate dislocations
transverse body fractures
associated with perilunate dislocations
comminuted fractures
results from high-energy trauma
palmar cortical fractures
avulsion of palmar ulnar triquetral ligament and LTIO ligament
shearing force from pisiform",
https://www.orthobullets.com/knee-and-sports/3131/anterior-inferior-iliac-spine-avulsion-aiis,"Pathophysiology
mechanism
typically occurs due to
eccentric contraction of the rectus femoris (femoral n.)
as hip extends and knee is flexed
causes avulsion of its anatomic origin off the pelvis",pain and weakness
